Country Name,Country Code,"Persistence to last grade of primary, total (% of cohort)_2018","Persistence to last grade of primary, total (% of cohort)_2019","Persistence to last grade of primary, total (% of cohort)_2020","Persistence to last grade of primary, total (% of cohort)_2021","Persistence to last grade of primary, total (% of cohort)_2022","Share of youth not in education, employment or training, total (% of youth population)_2018","Share of youth not in education, employment or training, total (% of youth population)_2019","Share of youth not in education, employment or training, total (% of youth population)_2020","Share of youth not in education, employment or training, total (% of youth population)_2021","Share of youth not in education, employment or training, total (% of youth population)_2022","Primary completion rate, total (% of relevant age group)_2018","Primary completion rate, total (% of relevant age group)_2019","Primary completion rate, total (% of relevant age group)_2020","Primary completion rate, total (% of relevant age group)_2021","Primary completion rate, total (% of relevant age group)_2022","Literacy rate, adult total (% of people ages 15 and above)_2018","Literacy rate, adult total (% of people ages 15 and above)_2019","Literacy rate, adult total (% of people ages 15 and above)_2020","Literacy rate, adult total (% of people ages 15 and above)_2021","Literacy rate, adult total (% of people ages 15 and above)_2022","Current education expenditure, total (% of total expenditure in public institutions)_2018","Current education expenditure, total (% of total expenditure in public institutions)_2019","Current education expenditure, total (% of total expenditure in public institutions)_2020","Current education expenditure, total (% of total expenditure in public institutions)_2021","Current education expenditure, total (% of total expenditure in public institutions)_2022"
Croatia,HRV,98.35237885,98.46626282,98.48708344,80.10046005000001,,13.571,11.776,12.242,12.69,11.916,99.43863678,97.74690247,97.81408691,94.20815277,80.50629043500001,92.94524473470588,89.83045896,94.832237242,99.44999695,85.52666728,95.41201782,93.06931305,91.889328,95.347489927,92.287654118
Cuba,CUB,96.72579193,95.97029114,97.27150726,94.36589813,,9.3155,12.403666666666666,14.851,13.051333333333332,12.851,90.79403687,90.49581909,94.62593842,96.634758,92.4178772,92.58736778882351,89.76750056,94.69822184066666,99.67311096,86.77333387,93.4060382825,94.24882253,93.57650248,95.493518064,92.868978886
Curacao,CUW,97.65978495333331,96.593250275,97.663555145,95.67894554,,5.06,13.031333333333334,17.46,13.412666666666668,13.786,96.335369135,96.520660395,97.49721911,98.307197575,94.28487778,92.22949084294116,89.70454216,94.56420643933332,99.516555785,88.02000046,91.400058745,95.42833201,95.26367696,95.639546201,93.450303654
Cyprus,CYP,98.59377797666669,97.21620941,98.05560303,96.99199295,,13.21,13.659,14.357,13.774,14.721,101.8767014,102.5455017,100.3684998,99.97963715,96.15187836,91.87161389705882,89.64158376,94.430191038,99.36000061,89.26666705,89.3940792075,96.60784149,96.95085144,95.785574338,94.031628422
Czechia,CZE,99.527771,99.57872009,99.50099182,98.30504036,,5.738,5.824,6.682,6.61,7.58,93.69480896,95.83374023,96.69519806,98.35590363,98.01887894,91.51373695117648,89.57862536,94.29617563666666,98.54726537,90.51333364,87.38809967,88.99597168,90.79060364,95.931602475,94.61295319
Denmark,DNK,99.81031799,99.69313812,99.7026062,99.61808777,,7.683,7.722,7.444,7.112,6.766,100.4138794,100.6303482,99.70002747,99.67603302,99.88587952,91.15586000529412,89.51566696,94.16216023533332,97.73453013,91.76000023,93.33078003,93.22737885,92.13239288,96.077630612,95.194277958
Djibouti,DJI,97.19405619,88.24742126,89.45155334,86.40299225,,13.288666666666668,13.390333333333334,17.53,13.852333333333332,13.380666666666666,51.73376846,51.3841095,50.12535095,53.38579178,56.10427094,90.79798305941176,89.45270855999999,94.028144834,96.92179489,93.00666682,93.32626215666669,94.2454471625,93.491052625,96.223658749,95.775602726
Dominica,DMA,94.57779439,86.71497726,72.82501602,89.68267059,,18.894333333333336,19.058666666666667,27.616,20.592666666666663,19.99533333333333,72.75535011,82.91000366,73.56550598,85.65966034,84.40644073,90.4401061135294,89.38975015999999,93.89412943266667,96.10905965,94.25333341,93.32174428333332,95.263515475,94.84971237,96.369686886,96.356927494
Dominican Republic,DOM,91.96153259,85.18253326,56.1984787,94.59294891,,24.5,24.727,37.702,27.333,26.61,93.77693176,93.96617126,97.00566101,87.72651672,89.4886322,90.08222916764706,89.32679175999999,93.76011403133332,95.29632441,95.5,93.31722641,96.2815837875,96.208372115,96.515715023,96.938252262
Ecuador,ECU,96.64293671,96.50515747,98.53884125,99.50322723,,17.67,17.516,33.929,18.819,18.435,103.4876175,99.74536896,98.21585846,95.69024658,99.67156982,89.7243522217647,89.26383335999999,93.62609863,94.48358917,93.94812012,93.31270853666666,97.2996521,97.56703186,96.66174316,97.51957703
"Egypt, Arab Rep.",EGY,99.00930023,99.641922,99.75286865,99.532771298,,27.095,27.96,30.156,28.743,26.92,90.62358856,92.85021973,96.57261658,97.47286987,99.44173431,89.36647527588235,89.20087496,91.80531311,95.560871886,74.5,93.30819066333332,95.69498062,94.24102783,87.45880127000001,97.62742150695652
El Salvador,SLV,99.12056732,82.1730423,84.60674286,99.562315366,,27.149,27.94,25.169,26.152,23.462,86.08999634,81.71881358,96.3798122425,97.661209105,99.2118988,89.00859833,89.13791656,89.98452759,96.638154602,75.43250020333333,93.30367279,94.09030914,90.9150238,78.25585938,97.73526598391304
Equatorial Guinea,GNQ,99.23183441,88.03980509666667,89.64458211333333,99.591859434,,21.548666666666666,21.246666666666663,19.84733333333333,21.075,19.219666666666665,74.50987816,70.58740743,96.187007905,97.84954834,98.98206329,82.78955841,89.11366711653845,89.8083953875,97.715437318,76.36500040666667,91.48889414333333,92.09442901333334,89.94604237666667,79.12350827666667,97.84311046086955
Eritrea,ERI,99.3431015,93.90656789333332,94.68242136666667,99.621403502,,15.948333333333332,14.553333333333333,14.525666666666668,15.998,14.977333333333332,62.92975998,59.45600128,95.9942035675,98.037887575,98.75222778,76.57051849,89.08941767307692,89.632263185,98.792720034,77.29750061,89.67411549666667,90.09854888666666,88.97706095333334,79.99115717333333,97.95095493782608
Estonia,EST,99.45436859,99.77333069,99.72026062,99.65094757,,10.348,7.86,9.204,10.921,10.735,96.59681702,97.27607727,95.80139923,98.22622681,98.52239227,76.79368470473683,89.06516822961538,89.4561309825,99.87000275,78.23000081333333,87.85933685,88.10266876,88.00807953,80.85880607,98.0587994147826
Eswatini,SWZ,83.20422363,93.425491335,99.727796936,99.504014586,,9.8276,7.7652,9.2362,34.39,10.2016,101.6405106,98.03701019,79.947177885,81.55211258,80.33219528,77.01685091947368,89.04091878615384,89.27999878,96.99947638578948,79.16250101666667,88.582427976,88.391171262,88.133969118,81.72645496666667,98.16664389173911
Ethiopia,ETH,87.29738616750001,87.07765198,99.735333252,99.357081602,,9.3072,7.6704,9.2684,17.529,9.6682,101.09933983333332,64.35500336,64.09295654,64.87799835,62.14199829,77.24001713421052,89.01666934269231,88.47090773181819,94.12895002157894,80.09500122,89.305519102,88.679673764,88.259858706,82.59410386333334,98.27448836869564
Faroe Islands,FRO,91.390548705,80.729812625,99.742869568,99.210148618,,8.7868,7.5756,9.3006,14.516666666666667,9.134799999999998,100.55816906666666,83.28032303,82.83647917,88.639499675,86.936000845,77.46318334894737,88.99241989923077,87.66181668363636,91.25842365736844,81.02750142333333,90.028610228,88.968176266,88.385748294,83.46175276000001,98.38233284565216
Fiji,FJI,95.4837112425,74.38197327,99.750405884,99.063215634,,8.2664,7.4808,9.3328,11.504333333333337,8.6014,100.0169983,102.2056427,101.5800018,112.401001,111.7300034,77.6863495636842,88.96817045576923,86.85272563545455,88.38789729315789,81.96000162666667,90.751701354,89.256678768,88.511637882,84.32940165666668,98.49017732260867
Finland,FIN,99.57687378,99.49342346,99.7579422,98.91628265,,7.746,7.386,9.365,8.492,8.068,99.70195007,99.43659973,99.18135071,99.2806778,98.38307953,77.90951577842105,88.94392101230768,86.04363458727273,85.51737092894737,82.89250183,91.47479248,89.54518127,88.63752747,85.19705055333334,98.59802179956522
